연도,성별,연령대,인구수
2021,F,10_under,9106
2021,F,10대,12421
2021,F,20대,32964
2021,F,30대,27692
2021,F,40대,25731
2021,F,50대,27227
2021,F,60대,22244
2021,F,70_over,18093
2021,M,10_under,9535
2021,M,10대,12847
2021,M,20대,29059
2021,M,30대,27205
2021,M,40대,24951
2021,M,50대,25906
2021,M,60대,20162
2021,M,70_over,13856
2022,F,10_under,8300
2022,F,10대,12134
2022,F,20대,32363
2022,F,30대,27336
2022,F,40대,25061
2022,F,50대,27009
2022,F,60대,22909
2022,F,70_over,18854
2022,M,10_under,8781
2022,M,10대,12426
2022,M,20대,28371
2022,M,30대,27042
2022,M,40대,24187
2022,M,50대,25695
2022,M,60대,20855
2022,M,70_over,14399
2023,F,10_under,7745
2023,F,10대,12587
2023,F,20대,36228
2023,F,30대,28825
2023,F,40대,25243
2023,F,50대,28346
2023,F,60대,24202
2023,F,70_over,20442
2023,M,10_under,8076
2023,M,10대,12484
2023,M,20대,29827
2023,M,30대,28549
2023,M,40대,24203
2023,M,50대,26600
2023,M,60대,22174
2023,M,70_over,15649
2024,F,10_under,7320
2024,F,10대,11311
2024,F,20대,35933
2024,F,30대,27562
2024,F,40대,24123
2024,F,50대,27622
2024,F,60대,25409
2024,F,70_over,21230
2024,M,10_under,7647
2024,M,10대,11300
2024,M,20대,29931
2024,M,30대,26937
2024,M,40대,23247
2024,M,50대,26074
2024,M,60대,23117
2024,M,70_over,16286
