주거지,위도,경도
송정동서울숲아이파크아파트,37.553029,127.069772
롯데캐슬리버파크시그니처,37.537828,127.063145
한림타워,37.540868,127.069062
한강우성아파트,37.532794,127.065776
자양동삼성아파트,37.53236,127.071525
이튼타워리버5아파트,37.532338,127.068999
자양우성1차아파트,37.534275,127.07416
자양동현대5차아파트,37.528728,127.07825
자양현대3차아파트,37.528783,127.083372
자양한양아파트,37.531673,127.090904
강변우성아파트,37.535092,127.092357
현대프라임아파트,37.53758,127.097563
광장현대3단지아파트,37.540539,127.097927
극동1차아파트,37.543522,127.104289
광나루현대아파트,37.547095,127.108331
광장신동아파밀리에아파트,37.54696,127.10476
워커힐아파트,37.550584,127.106562
래미안파크스위트,37.545927,127.090083
e편한세상광진그랜드파크,37.544328,127.081019
신항빌라,37.565949,127.087398
